股票名,股票代码,所属行业,题材关键词,公司信息,主营构成,总市值,市盈率估值,市净率估值," 市销率估值",市现率估值,综合估值状态,最新一期 ROE,价格,估算合理价格,当前价格是否合理,合理价格与当时价的价格差,预约财报披露日期,历史波动率 (%),净利润增长率 (%),营收增长率 (%),最新负债率 (%),最新股息率 (%),净利润 3 年复合增长率 (%),营收 3 年复合增长率 (%),上市以来年化收益率 (%),年化波动率 (%),预测净利润同比增长 (%),预测营收同比增长 (%),机构评级,每股收益预测,上市时间
姚记科技,002605.SZ,互联网服务,扑克牌;品牌优势;技术、规模优势;国内扑克行业龙头;经销商分销模式拓宽渠道;稳定+高品质的原料保证;拟斥资1000万至5000万元回购公司股份,"公司简介:
    上海姚记科技股份有限公司创建于1994年,如今姚记公司已位列于中国印刷行业百强,上海市民营企业百强。公司坐落在上海嘉定工业园区内,公司占地15万平方米,员工将近900人,工厂如花园,景色优美,环境怡人。系大型现代化花园式扑克牌生产基地,上海市工业旅游景点之一,全国工商联直属会员。公司不空喊“以人为本”,不只考虑利润,不只是个商业体,更应是个温暖的大家庭。姚记公司建立了一整套上下沟通交流的机制,在考核中真正做到能上能下,每年拿出相当利润奖励员工,也不忘在节假日和员工生日时送上特别的礼物。“栽下梧桐树,引得凤凰来。”如今在姚记公司,大专以上学历员工已占到20%以上,近年来还吸引了一批具有硕士学位的“海归”人才。人才是企业的智力支持和发展动力,而设备则是企业作战的武器。中国的古训:欲善其事,必先利其器。公司拥有世界著名品牌印刷机德国罗兰、海德堡CD四开五色机和双色胶印机,拥有国内先进的高精度全自动平压平模切机和分条分片机,拥有国际一流的全自动包装线。并且公司努力开展科技创新工作,与设备供应商联合研发一大批专业扑克牌生产设备,这些设备的研制成功,填补了世界扑克制造业的空白,使姚记扑克的机械装备水平处于全球同行业的领先地位。一流的人才,一流的设备,打造出了一流的产品。公司积极落实“科学发展观”的指导思想,在扑克牌行业精心耕耘,经过多年的努力,“姚记扑克”不仅在国内市场独占熬头,产品还远销海外,已成为世界扑克牌行业的翘楚。公司主导产品“姚记”系列扑克,长期以来品质卓越,图案精美,在国内外市场享有良好声誉,先后荣获“上海名牌产品”、“中国轻工质量信得过产品”、“中国轻工业联合会科学技术进步奖”、“上海市区级技术中心”,在海外多个国家注册的“摩托车“(商标)扑克远销五大洲,受到客户的广泛好评。公司确立了“树百年姚记,创世界品牌”的战略目标,致力于成长为世界级专业扑克牌生产基地。
主营业务:
    经营移动游戏业务,各类扑克牌的设计、生产和销售。
所属概念:
    创投,网络游戏,股权激励,预盈预增,免疫治疗,深股通,共享经济,百度概念,富时罗素,字节概念","按行业:
    软件: 47.37%
    文教体育用品: 29.60%
    互联网营销: 18.65%
    其他(补充): 4.38%
按产品:
    游戏: 47.37%
    扑克牌: 29.60%
    数字营销: 18.65%
    其他(补充): 4.38%
按地区:
    国内: 94.66%
    国外: 5.34%",88.71 亿,估值较低,估值中等,估值较低,估值较低,估值较低,60.77,22.06,--,--,--,2021-04-29,0.49198296977629064,217.061056048128,47.5239988975,45.602930285,2.266545784225,142.3327552978,56.9503925633,17.5951,7.5191,-25.1140614752,52.4703723271,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:2.036000 预测市盈率:10.834856
2022 | 预测每股收益:2.516000 预测市盈率:8.775922
2023 | 预测每股收益:2.712500 预测市盈率:8.131532",2011-08-05
龙大肉食,002726.SZ,食品,"肉类行业;全产业链优势;生猪养殖技术优势;IT销售优势;拟收购潍坊振祥食品有限公司70%股权;控股股东拟转让9.9988%股份,引入战投蓝润投资;控股股东及实控人将发生变更","公司简介:
    山东龙大肉食品股份有限公司成立于2003年7月,是专业从事肉食品加工的大型企业。秉承“源于自然,传递新鲜”的企业理念,公司构建起集种猪繁育、饲料生产、生猪养殖、屠宰分割、熟食加工为一体的完整的肉食品产业链。公司产品主要包括优质鲜冻分割猪肉、低温肉制品、散装酱卤食品等三大类400余个品种。
主营业务:
    从事生猪养殖,生猪屠宰,冷鲜肉、冷冻肉、熟食制品(中式卤肉制品、低温肉制品)的生产加工及销售。
所属概念:
    转债标的,融资融券,猪肉概念,网红直播,深股通,冷链物流,富时罗素,标准普尔,社区团购","按行业:
    屠宰行业: 69.65%
    进口贸易: 23.10%
    肉制品行业: 4.76%
    其他: 2.48%
按产品:
    鲜冻肉: 69.65%
    进口贸易: 23.10%
    高低温肉制品: 2.45%
    其他: 4.80%
按地区:
    华东其他地区: 40.07%
    山东省内: 33.41%
    华中地区: 9.94%
    其他: 16.58%",118.80 亿,估值较低,估值中等,估值较低,估值较低,估值较低,32.55,11.88,--,--,--,2021-04-29,0.49364409393599273,276.058223415134,43.2714300847,56.7863256989,1.531856060606,68.8629635088,54.2064558572,29.337,8.1565,27.8499754725,10.3027761543,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.163333 预测市盈率:10.258498
2022 | 预测每股收益:1.436667 预测市盈率:8.284583
2023 | 预测每股收益:1.720000 预测市盈率:6.919179",2014-06-26
天康生物,002100.SZ,畜牧业,饲料行业;综合优势;发展兽药行业;股东中新建招商拟协议转让股份;获得新兽药注册证书,"公司简介:
    天康生物股份有限公司是一家集兽用生物制品与动物疫病防治、现代生猪科学育种与养殖、饲料研发与生产、生猪屠宰加工配售为一体的农牧类上市公司,2006年12月26日,天康生物在深交所成功上市,公司将坚定地依据自身的专业能力和核心竞争力,紧紧围绕畜牧养殖的关键环节,包括:饲料、饲养、动保、良种繁育(主要指生猪)以及养殖服务体系和金融服务体系建设,为养殖户提供全面解决方案,提升养殖效率。
主营业务:
    动物疫苗、饲料及饲用植物蛋白的生产及销售,种猪繁育、生猪养殖、屠宰加工及肉制品销售,融资担保业务
所属概念:
    转债标的,生物疫苗,深成500,预盈预增,融资融券,病毒防治,证金持股,猪肉概念,深股通,富时罗素,标准普尔,鸡肉概念,转基因","按行业:
    饲料行业: 35.17%
    食品养殖行业: 29.00%
    玉米收储行业: 16.42%
    其他: 19.41%
按产品:
    饲料收入: 35.17%
    生猪养殖: 20.36%
    玉米代储收入: 16.42%
    其他: 28.05%
按地区:
    新疆区内: 60.55%
    新疆区外: 39.45%",108.93 亿,估值较低,估值较低,估值较低,估值较低,估值较低,31.86,10.13,--,--,--,2021-04-29,0.48079676887738637,166.943356109612,60.3304129427,56.3382329566,4.540967423495,61.6688284706,37.3114413634,18.5528,7.4166,22.7978323475,21.6742787942,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.975000 预测市盈率:5.156319
2022 | 预测每股收益:1.583333 预测市盈率:6.461751
2023 | 预测每股收益:1.970000 预测市盈率:5.152603",2006-12-26
大立科技,002214.SZ,电子设备制造,红外热像仪行业;专业化研发优势;品牌优势;军品资质优势;发展数字硬盘录像机行业;签订1.28亿元军品供货合同,"公司简介:
    浙江大立科技股份有限公司是于1984年成立的浙江省测试技术研究所改制而成的股份制高新技术企业,公司股票于2008年2月18日在深圳证券交易所挂牌上市。公司专业从事非制冷焦平面探测器、红外热像仪、红外热成像系统的研发、生产和销售。
    公司座落于美丽的中国杭州,拥有功能齐全、设备完善的产业化基地以及技术研发中心,公司的技术人员占员工总数35%以上,从根本上保证了技术的国内领先、国际先进水平以及持续创新的能力。同时,公司采用国际化的现代管理模式,取得了ISO9001质量管理体系、ISO14000环境管理体系及ISO18000职业健康安全管理体系认证,从根本上保证了公司的健康发展。
    公司先后有多个红外热像仪产品获“国家级重点新产品”,一项红外热成像技术获“浙江省科学技术进步二等奖”,一项图像软件被列为“浙江省十大推荐优秀软件产品”,制冷型红外热像仪的开发被列入“国家863计划项目”。同时公司多年连续被评为“全球安防五十强”等荣誉称号。
主营业务:
    研发、生产、销售红外热成像系列产品和数字硬盘录像机等安防监控产品。
所属概念:
    军工,机构重仓,物联网,长江三角,融资融券,智能机器,国家安防,人工智能,无人驾驶,壳资源,国产芯片,深股通,军民融合,富时罗素,传感器","按行业:
    计算机、通信和其他电子设备制造业: 99.67%
    其他(补充): 0.33%
按产品:
    红外及光电类产品: 97.47%
    其他: 2.53%
按地区:
    境内: 73.85%
    境外: 26.15%",115.48 亿,估值较低,估值较高,估值中等,估值中等,估值中等,30.49,23.1,--,--,--,2021-04-30,0.4903840906802109,187.561395476647,105.520997856,21.7873463334,0.34632034632,134.8025937275,53.4838388415,22.9878,14.1895,18.6897522246,12.4078550219,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:0.973333 预测市盈率:24.920409
2022 | 预测每股收益:1.186667 预测市盈率:20.393600
2023 | 预测每股收益:1.333333 预测市盈率:17.357140",2008-02-18
三一重工,600031.SH,专用设备,工程机械行业;行业领先的研发创新能力;高端卓越的精益制造;世界最大混凝土机械制造商;行业前景;军用无人装备;拟8亿元参与设立工业互联网产业基金;拟8亿-10亿元回购股份,"公司简介:
    三一重工股份有限公司由三一集团投资创建于1994年。自成立以来公司取得了持续快速发展。目前,三一是全球装备制造业领先企业之一。2003年7月3日,三一重工在上海A股上市(股票代码:600031)并于2005年6月10日成为股权分置改革成功并实现全流通的企业,被载入中国资本市场史册。2011年7月,三一重工以215.84亿美元的市值,入围FT全球500强。2012年,三一重工并购混凝土机械全球品牌德国普茨迈斯特,改变了行业竞争格局。
主营业务:
    工程机械产品及配件的开发、生产和销售。
所属概念:
    军工,HS300_,参股银行,融资融券,上证50_,上证180_,沪股通,一带一路,证金持股,工业4.0,军民融合,MSCI中国,工业互联,富时罗素,标准普尔","按行业:
    工程机械行业: 97.47%
    其他(补充): 2.53%
按产品:
    挖掘机械: 37.78%
    混凝土机械: 27.23%
    起重机械: 19.54%
    其他: 15.45%
按地区:
    国内: 83.27%
    国际: 14.20%
    其他(补充): 2.53%",2660.97 亿,估值中等,估值中等,估值中等,估值中等,估值中等,29.64,31.36,--,--,--,2021-04-30,0.4459687154926149,36.249072150676,31.2482605103,53.9123517356,1.913265306122,94.6544424038,37.6828171676,27.7419,6.6032,23.5586548097,15.4828184617,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:2.241143 预测市盈率:13.955934
2022 | 预测每股收益:2.564286 预测市盈率:12.215121
2023 | 预测每股收益:2.860345 预测市盈率:10.956842",2003-07-03
福莱特,601865.SH,玻璃,特种玻璃制造行业;技术优势;先发优势;客户资源优势;自愿锁定股份;股利分配;稳定股价措施,"公司简介:
    福莱特玻璃集团股份有限公司是一家集玻璃研发、制造、加工和销售为一体的综合性中大型企业,创建于1998年6月,集团本部位于长三角经济中心浙江嘉兴市。集团下属有浙江嘉福玻璃有限公司、浙江福莱特玻璃有限公司、上海福莱特玻璃有限公司、嘉兴福莱特新能源科技有限公司、安徽福莱特光伏材料有限公司、安徽福莱特光伏玻璃有限公司、福莱特(香港)有限公司、福莱特(越南)有限公司、福莱特(香港)投资有限公司等九家全资控股公司。
    福莱特通过近二十年的努力,目前总资产已达人民币约60亿元,并集玻璃研发、制造和深加工于一体的大型玻璃企业集团。并于2015年11月26日在香港联交所主板上市,股票代码:HK.06865。
    福莱特的主要产品涉及太阳能光伏玻璃、优质浮法玻璃、工程玻璃、家居玻璃四大领域,以及太阳能光伏电站的建设和石英岩矿开采,形成了比较完整的产业链。
主营业务:
    光伏玻璃、浮法玻璃、工程玻璃和家居玻璃的研发、生产和销售,以及玻璃用石英矿的开采和销售和EPC光伏电站工程建设
所属概念:
    AH股,股权激励,预盈预增,太阳能,融资融券,中证500,上证380,沪股通,富时罗素,标准普尔","按行业:
暂无数据
按产品:
    光伏玻璃: 83.47%
    工程玻璃: 8.48%
    家居玻璃: 5.22%
    其他: 2.84%
按地区:
    中国: 71.11%
    亚洲其他国家及地区(不包括中国及日本): 21.45%
    北美洲: 4.05%
    其他: 3.39%",543.42 亿,估值较低,估值中等,估值中等,估值较低,估值较低,29,25.32,--,--,--,2021-04-29,0.6769900544950233,127.089309803817,30.2407538348,41.0169543067,0.592417061611,56.3048246957,27.9101219561,228.0376,14.5813,56.2024027429,62.9354891546,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.212778 预测市盈率:20.261637
2022 | 预测每股收益:1.452353 预测市盈率:16.812424
2023 | 预测每股收益:1.709333 预测市盈率:14.221993",2019-02-15
万盛股份,603010.SH,化学制品,阻燃剂行业;品牌和客户优势;产品优势;研发优势;两大阻燃剂产品提价15%-20%;1元回购并注销1.77%股份,"公司简介:
    浙江万盛股份有限公司,是国家火炬计划重点高新技术企业、浙江省高新技术企业,公司是上海证券交易所主板上市公司(股票代码:603010)。公司目前拥有3个研发中心,3大生产基地,全球化的销售网络。公司在中国的上海、浙江、广州、香港设有区域销售中心,设有欧洲万盛有限公司和美国万盛材料科技有限公司服务欧洲、美国当地客户,万盛股份有限公司正成为全球优秀的磷系磷酸酯阻燃剂、特种脂肪胺及腰果酚固化剂稀释剂等功能性化学品供应商。公司是磷系磷酸酯阻燃剂生产商,目前拥有各类磷系磷酸酯阻燃剂95000多吨产能,主要应用于电子电器、汽车等行业的工程塑料和建筑节能保温、汽车以及家私PU绵等行业。万盛股份目前拥有40000多吨各类特种胺产能,主要用于聚氨酯催化剂、电子化学品、日化、医药、农药、油品添加剂、杀菌、采矿等行业,是中国主要的特种胺供应商。公司拥有20000多吨腰果酚固化剂、稀释剂及20000多吨腰果酚产能,是中国主要的腰果酚及腰果酚固化剂、稀释剂供应商。
主营业务:
    功能性精细化学品的生产、研发和销售
所属概念:
    预盈预增,OLED,新能源车","按行业:
    工业: 97.79%
    贸易: 1.99%
    其他(补充): 0.22%
按产品:
    阻燃剂: 76.34%
    胺助剂及催化剂: 20.83%
    涂料助剂: 2.50%
    其他: 0.33%
按地区:
    境内: 59.70%
    境外: 40.07%
    其他(补充): 0.22%",92.64 亿,估值较低,估值中等,估值中等,估值较低,估值较低,27.94,19.09,--,--,--,2021-04-30,0.5048702219479169,137.20960921928,20.746512646,33.3346791381,1.496669908218,62.837273914,16.5098744992,36.8388,9.0992,75.2651546531,65.5914211743,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.986000 预测市盈率:13.441890
2022 | 预测每股收益:2.284000 预测市盈率:11.692210
2023 | 预测每股收益:2.722500 预测市盈率:9.799884",2014-10-10
鱼跃医疗,002223.SZ,医疗器械,医疗器械行业;品牌优势;产品结构优势;自主创新优势;强化主营优势;技术优势;国际市场竞争优势;市场开发;拟投资5000万元在苏州设立子公司;5.37亿元收购中优医药38.3775%股份,"公司简介:
    江苏鱼跃医疗设备股份有限公司自1998年创立以来,矢志于投身生命健康事业,打造了由家庭医疗、临床医疗、互联网医疗组成的大健康生态圈,组建了一个覆盖医疗器械领域的专业化服务平台。集团总部设立在中国上海,拥有位于北京、上海、南京、苏州、丹阳、西藏、中国台北地区、德国、意大利的10大研发中心和8大生产基地,其中位于丹阳的全球生产基地总投资30亿元、占地1000亩,已于2020年落成并陆续投入使用。鱼跃医疗在全球各地设立了56家办事机构,形成了完整的研发、生产、营销和服务网络。公司产品主要集中在呼吸供氧、血压血糖、消毒感控、医疗急救、手术器械、中医器械、眼科器械、康复护理、隐形眼镜及提供医院消毒感染控制解决方案等领域,旗下品牌矩阵包括“鱼跃yuwell”、“华佗Hwato”、“金钟JZ”、“洁芙柔”、“安尔碘”、“普美康PRIMEDIC”等。2020年3月18日,鱼跃医疗以350亿元人民币市值位列《2020胡润中国百强大健康民营企业》第37。2020年新型冠状病毒肺炎期间,鱼跃医疗向全球70余个国家驰援了各类医疗物资,并因国内抗疫贡献连续收到了国务院3封感谢信。
主营业务:
    医疗器械的生产销售。
所属概念:
    机构重仓,深成500,长江三角,融资融券,养老概念,医疗器械,阿里概念,中证500,2025规划,证金持股,健康中国,深股通,昨日触板,互联医疗,富时罗素,标准普尔,口罩,消毒剂,蚂蚁概念","按行业:
暂无数据
按产品:
    家用医疗: 39.46%
    医用呼吸与供氧: 33.61%
    医用临床: 23.71%
    其他: 3.23%
按地区:
    内销: 71.18%
    外销: 27.93%
    其他(补充): 0.89%",312.27 亿,估值较低,估值较低,估值较低,估值较低,估值较低,26.19,31.15,--,--,--,2021-04-29,0.4393766171342639,133.741496474987,45.0772658125,25.5368697369,0.963081861958,43.7626082669,23.8360939159,30.6101,6.2652,-29.6429938673,-4.6773833665,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.234444 预测市盈率:25.231551
2022 | 预测每股收益:1.455556 预测市盈率:21.411472
2023 | 预测每股收益:1.784286 预测市盈率:17.465467",2008-04-18
高德红外,002414.SZ,电子设备制造,其他电子设备制造业;核心器件产业化优势;战略布局优势;红外热成像龙头;军工资质认证完备;高性价比民品;抗击甲流赢得声誉;国内率先研发综合光电系统;交通夜视，视频监控新应用;碲镉汞制冷型红外焦平面阵列探测器项目通过科技成果评价,"公司简介:
    武汉高德红外股份有限公司创立于1999年,是国际知名的以红外热成像技术为核心的光电系统和武器系统研制生产企业。高德红外工业园位于“中国·光谷”,占地200亩,建筑面积12万平方米,配备先进的科研生产设备和仿真实验室,已成为规模化的全红外产业链研制基地。
    高德红外的“中国红外芯”及各类产品已广泛应用于国防和高科技武器系统(卫星、飞机、舰艇、导弹、坦克、单兵等)
    以及广阔的民用领域(电力、医疗、检验检疫、夜间驾驶、平安城市、智能家居等行业)。公司将在“军民融合”国策引领下,一方面为国防工业贡献力量,同时将“中国红外芯”军转民,为各行业提供专业的解决方案。
主营业务:
    红外热成像产品的研制、生产和销售。
所属概念:
    军工,HS300_,深成500,融资融券,国家安防,全息技术,无人机,无人驾驶,国产芯片,深股通,军民融合,MSCI中国,深证100R,富时罗素,标准普尔,传感器,半导体,湖北自贸","按行业:
    其他电子设备制造业: 99.59%
    租赁业: 0.22%
    技术服务业: 0.04%
    其他: 0.15%
按产品:
    红外热像仪及综合光电系统: 96.46%
    传统弹药及信息化弹药: 3.13%
    其他(补充): 0.41%
按地区:
    国内: 75.87%
    国外: 23.72%
    其他(补充): 0.41%",567.36 亿,估值较低,估值较高,估值中等,估值较高,估值中等,25.46,33.85,--,--,--,2021-04-29,0.45709353474095893,239.355348059591,83.0670396322,32.3517161864,0.330082131327,46.027458898,26.4389029324,20.4689,6.743,354.4046301102,96.2117065146,"3月内:增持
6月内:买入
1年内:买入","2020 | 预测每股收益:0.630000 预测市盈率:56.588731
2021 | 预测每股收益:0.936667 预测市盈率:38.132566
2022 | 预测每股收益:1.256667 预测市盈率:28.371051",2010-07-16
君正集团,601216.SH,化学原料,氯碱化工行业;能源化工产业的低成本竞争优势;高标准的物流安全管理能力和完善的全球物流网络;循环经济企业;区位优势;拟20.7亿收购中化物流剩余60%股权;参股电企;发展目标;煤炭资源,"公司简介:
    内蒙古君正能源化工集团股份有限公司,2003年创建于乌海市,是全国循环经济示范基地、自治区循环经济示范企业、中国化工企业500强和自治区60户重点企业之一。
主营业务:
    本公司(包括子公司)主营产品包括电力、电石、硅铁、聚氯乙烯树脂(简称“PVC”)、烧碱等。自设立以来,该公司一直致力于通过一体化经营,以自备电厂为纽带,建设“煤-电-氯碱化工”和“煤-电-特色冶金”一体化的循环经济体系,实现资源、能源的就地转化。公司是内蒙古自治区第二批工业循环经济试点示范企业之一。
所属概念:
    煤化工,新能源,HS300_,参股券商,参股银行,生物疫苗,融资融券,互联金融,彩票概念,阿里概念,上证380,沪股通,证金持股,MSCI中国,独角兽,氢能源,富时罗素,标准普尔,蚂蚁概念","按行业:
    基本化学原料制造业: 43.30%
    化工物流业: 39.43%
    铁合金冶炼业: 12.23%
    其他: 5.04%
按产品:
    化工物流: 39.43%
    聚氯乙烯: 34.80%
    硅铁: 12.23%
    其他: 13.54%
按地区:
    境内: 66.69%
    境外: 32.18%
    其他(补充): 1.13%",477.59 亿,估值较低,估值中等,估值中等,估值较低,估值较低,24.56,5.66,--,--,--,2021-04-30,0.5034260894607813,93.243032439145,50.9862412318,37.0440022668,5.30035335689,30.873290001,24.1328192628,12.5688,7.7503,0,0,,,2011-02-22
